size,size_in_gb,directory
204178889,194.72,W658
207197505,197.6,WDL2013
211254029,201.47,W595
218451063,208.33,WDL
220115950,209.92,W760
229342300,218.72,W307
233327473,222.52,W535
251207073,239.57,W602
255033033,243.22,W133
340316039,324.55,W563
